name,one_line,nickname,type,current_address,vizrec,current_use,current_photo_link,historic_address,historic_photo_url,start_date,start_date_confidence,end_date,end_date_confidence,history_summary,research_url,research_notes,research_sources,personal_history_text,personal_history_subject,personal_history_recorder,followup_email,lat,long,verification_indicator,geopolygon,parcel_number,current_owner,last_sold_date,unique_id,timestamp
American Buyers Guild,A mattress business which was once housed in the building that now holds the Exterminator indoor roller-coaster.,,Business,"4429 Kennywood Blvd., West Mifflin, PA 15122",0.8,"As of August 2017, the building's shell now hosts the Exterminator indoor roller coaster at Kennywood.","https://www.google.com/maps/place/4429+Kennywood+Blvd,+West+Mifflin,+PA+15122",,,2/26/1973,1,4/18/1999,1,"American Buyer's Guild was a discount mattress store founded by Seymour Farber. The store was originally located in uptown. Duquesne was its second location, and it is now in Homestead, PA, as American Buyer's Discount Mattress.",https://www.higherimages.com/news/pittsburgh-mattress-icon-seymour-farber-launches-annual-campaign/,"CSB verified location, details about Seymour Farber connection",http://www.ultimaterollercoaster.com/coasters/exterminator,"""I knew some members of a family who lived in its basement in the 1970s.  Kennywood Park later bought the building and turned it into an indoor roller coaster."" [The Exterminator; opened April 18, 1999]",John C.,John C.,,40.389611,-79.867955,FALSE,,,,,"42,936.44",07/20/2017 10:33:36
The Ankara Nightclub,Night Club & Supper Club on Route 51 in Pleasant Hills.,The Ankara,Business,"PA Route 51 and Lewis Run Road, Pleasant Hills, PA 15236",0,"As of August 2017,the site is now a car dealership, Dean Honda",http://www.deanhonda.com/,,http://www.nowseethis.org/peopleshistory/posts/1550,1940 or earlier,0,At least 1962,0,"The Ankara was a local nightclub and supper club, popular in the 1940s and 1950s, and was a nightclub until at least the 1960s, after which it was a series of businesses, including many automobile dealerships.",http://news.rootsweb.com/th/read/PA-PITTSBURGH/2001-12/1009748222,"CSB verified location, found a cool old photo",,"""I've lived in the Pittsburgh area all my life, so I'm very familiar with the where ""something used to be"" directions.  My first experience with this local phenomenon was in 1982, when I was 16 and a new driver, being told to turn right where the Ankara used to be.""",Jay W.,AOXOMOXOA,,40.309082,-79.936846,FALSE,,,,,"42,948.78",08/01/2017 18:43:12
Babyland,"A children's furnishing store, the building's soft blue pallet & toy block signage were a mainstay of the area until it closed in 2012.",,Business,"5542 Penn Ave, Pittsburgh, PA 15206",0.8,"As of August 2017, the building is vacant, though there is strong community development in seeing it be put to productive local use.",https://www.indiegogo.com/projects/keep-it-neighborhood-help-babyland-grow-into-something-better,,https://ninetyhoods.files.wordpress.com/2010/05/dsc_0538.jpg,1951,1,6/9/2012,1,"""Hillary and Mark Carrozza, owners of Babyland and Kidsroom here, have closed for business after 61 years. The NINFRA-member independent specialty store was first opened by Hillary's father, Leo Ash, in 1951. The store was later run by her mother, Marjorie Ash, before Hillary and her husband Mark took over operations in the 1980s."" - Pittsburgh's Babyland closes after 61 years, Heath E. Combs, Jane Kitchen, June 18, 2012",http://www.kidstodayonline.com/article/416443-pittsburghs-babyland-closes-after-61-years,"CSB verified location, found articles",http://www.post-gazette.com/business/businessnews/2012/06/08/Longtime-East-Liberty-business-Babyland-to-close-and-move/stories/201206080151,"""I live about a mile and a half away, in Highland Park.  Babyland wasn't even in Highland Park, but it's one place that many people knew, even if they'd only been there once or twice when their first child was born, to buy a crib.""",Linda S.,Linda S.,,40.4631796,-79.9312125,FALSE,,,,,"42,935.75",07/19/2017 18:00:00
Bassenheim,"The first building in Zelienople, a three story wooden castle which stood for the first 40 years of the town's history, before being destroyed by fire in 1842. ",,Building,,0,The area where Bassenheim stood is now Zelienople's downtown.,https://www.visitbutlercounty.com/attractions/zelienople,,,1802,1,1842,1,"""During his residence here, he built a large three-story house which he christened The Bassenheim. The building was of wood, built in imitation of ancient castles. The main portion of the house was three-story; there were two porches in front, one above the other, and two bow-windows. [p.208] The front door was reached by a long flight of steps. Attached to the body of the house were two wings, each of two stories. The roof of the main part was flat and surrounded by railings. About the house were numerous outbuildings of peculiar shapes--circular, square, triangular, octagonal, etc. The Bassenheim mansion stood on the north side of the Connoquenessing near the spot where Joseph ALLEN's house now stands. It was destroyed by fire in 1842. Leading from it to the village, Dr. BASSE had a road cut through the woods, perfectly straight, and three rods in width."" - History of Butler County Pennsylvania - 1883, Chapter 22 -- Jackson Township",http://www.rootsweb.ancestry.com/~pabutler/1883/83-22.htm,"CSB verified location, put URLs together",https://journals.psu.edu/wph/article/download/1371/1219&ved=0ahUKEwiSo-jjoZbVAhUHzz4KHTBGCgQQFggdMAA&usg=AFQjCNFKNgJ3KNw5rLNIfgk6i-dxZHQK2g,,,,,40.795731,-80.1392497,FALSE,,,,,"42,935.72",07/19/2017 17:16:48
Bruster's Ice Cream,"Well-known ice cream shop, highly visible because of its location & street-level walk-up window.",Bruster's,Business,"4070 Beechwood Blvd, Pittsburgh, PA 15217",0.8,"Commonwealth Plaza, the development which held it, remains - the storefront now holds Kids+ (Kids Plus) Pediatrics.",http://kidspluspgh.com/,,,1990,0.8,2012,0.5,Bruster's is a well-known local chain of Ice Cream shops. This location was well-known locally because of its location and its highly visible and often-frequented walk-up window.,https://en.wikipedia.org/wiki/Bruster's_Ice_Cream,,,"""I lived up the street from it, and would often walk over to get ice cream through the walk-up window facing the sidewalk on Beechwood Blvd. It served as a community gathering spot (post-game ice cream for teams from McGee field, evening conversation both inside and out) and was a good source of community memory. 
Foremost, it was an important waypoint for directions in this part of Greenfield:
- Go over the bridge, then turn left past the Bruster's
- It's in the little plaza next to the Bruster's.
- Get off the Parkway, loop back around, and go until you see the Cogo's and the Bruster's
(Note the articulation!)""",Goob,Goob,,40.427301,-79.93828,FALSE,,,,,"42,942.40",07/26/2017 9:36:00
Chiodo's Tavern,,,Business,"133 W 8th Ave
Homestead, PA  15120
United States",0,Walgreens Homestead replaced it completely ,,No,,https://newsinteractive.post-gazette.com/thedigs/2015/04/29/chiodos-tavern-in-homestead-home-to-everybody/,,https://newsinteractive.post-gazette.com/thedigs/2015/04/29/chiodos-tavern-in-homestead-home-to-everybody/,,https://newsinteractive.post-gazette.com/thedigs/2015/04/29/chiodos-tavern-in-homestead-home-to-everybody/,,,,That place was a regular watering hole of mine when I lived in Pittsburgh 1997-2003. Also well-known among the CS graduate students at CMU during that time. ,,,,40.405599,-79.913223,,,,,,"42,936.11",07/20/2017 2:38:24
Chiodo's Tavern,,Chiodo's,Business,"107 W. 8th Ave., Homestead, PA 15120",0,yeah; it's now a freakin' Walgreen's parking lot,"https://www.google.com/maps/place/107+W+8th+Ave,+Homestead,+PA+15120",I don't believe so,,ca. 1890; Chiodo's from 1947 - March 2005 (source: https://newsinteractive.post-gazette.com/thedigs/2015/04/29/chiodos-tavern-in-homestead-home-to-everybody/),,March 2005,,"not sure there's anything authoritative, but google ""chiodos homestead"" for several sources",,"google ""chiodos homestead""",,just fond memories of my many times there in the '90s and early '00s,,,,40.405599,-79.913223,,,,,,"42,936.42",07/20/2017 10:04:48
Civic Arena,,"The Igloo, Civic Auditorium",Building,Mario Lemieux Place,0,Parking lot,Www.reusetheigloo.org,,,September 1961,,"March 31, 2012",,Www.reusetheigloo.org,,https://tools.wmflabs.org/geohack/geohack.php?pagename=Civic_Arena_%28Pittsburgh%29&params=40_26_30_N_79_59_24_W_type:landmark_scale:2000,,Fought to save it,,,,40.441635,-79.99035,,,,,,"42,942.03",07/26/2017 0:43:12
CyberConXion,"A 3700 square foot gaming center in Squirrel Hill started by Leon Edelsack and Larry Hochendoner that offered PC and console gaming, served as a social space, and hosted birthday parties.  ",,Business,"1710 Murray Ave, Level II 15217",80%,It's now an IBM / M*Modal office,Just Google Maps :( https://goo.gl/maps/mcZScN1emY42,"1710 Murray Ave, Level II 15217",http://www.squirrelhill.com/gallery/index.php?n=262,"December 3, 2004",100%,"August 2008, according to http://pittsburgh.livejournal.com/1799355.html",80%,https://thetartan.org/2005/10/31/pillbox/cyberconxion,,google isn't yielding a lot of results. maybe the landlords of that building? sorry I can't be more helpful :(,https://web.archive.org/web/20080618104200/http://www.pghcyberconxion.com:80/ http://www.self.gutenberg.org/articles/CyberConXion,I went there many times with friends when I was in high school.,,,,40.437595,-79.923168,,,,,,"42,935.73",07/19/2017 17:31:12
Fredosaurus Rex Friday XIII,,"Fredosaurus Rex, Mr. Rogers Dinosaur",Public Art,"4802 Fifth Ave, Pittsburgh, PA 15213",0,"It's still the WQED Building, just without the Fredosaurus Rex (which has been relocated to the new Fred Rogers Company offices at 2100 Wharton Street).",,,,Seemingly in 2004,circa,"June 7, 2013",exact,http://www.neighborhoodarchive.com/misc/other/fredosaurus_rex/index.html,,,,,,,,40.44672,-79.944702,,,,,,"42,935.58",07/19/2017 13:55:12
